Symbol,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,Industry,DPS,DY
ANTM,-0.014157482,0.073923886,0.085136219,0.058859581,-0.022537452,0.11210501,-0.018334803,-0.060131637,-0.085693855,-0.00305779,-0.006071476,-0.063025467,0.074433355,-0.064185274,0.001532657,0.068724277,0.012806692,-0.061163534,-0.001320609,0,-0.047662531,0.007105596,-0.027531711,0.169620836,HealthCare,2.6,1.78
AON,0.025300113,-0.047792614,0.114491924,-0.042247879,0.004216662,0.051854882,-0.015214345,0.013920575,-0.072739853,-0.051690923,0.056384679,0.015325222,-0.02670465,-0.0441624,0.084936854,0.096127579,0.009608562,0.039478669,-0.000365972,-0.016838149,0.039973803,0.010238041,-0.011748908,0.02950461,Financials,1.32,1.17
APA,-0.022156375,0.00243023,0.052261393,-0.083687623,0.137805908,-0.12514618,-0.036931836,-0.200285918,-0.01351936,-0.134394373,0.210198433,0.043496723,-0.095770615,-0.036413521,-0.10014113,0.275078535,0.119612997,0.050367639,-0.025726339,-0.052645116,-0.053333279,0.285110633,-0.065013092,0.108776009,Energy,1,1.5
AIV,-0.002684502,0.072947509,-0.047735161,0.044585979,-0.041412618,0.013277349,-0.026364422,0.058218312,-0.071065842,0.027477162,0.058616866,-0.01946553,0.050380433,-0.021983467,-0.056375192,0.142310712,-0.042085053,0.073082327,0.035404457,0.040987326,-0.009860583,0.016157576,-0.040078455,-0.036955981,RealEstate,1.32,3.12
AAPL,-0.071891053,0.061424273,0.100776467,-0.031371628,0.005786354,0.045339107,-0.037227475,-0.032926711,-0.066196243,-0.021816254,0.083408884,-0.005804263,-0.110228245,-0.075242317,-0.001287484,0.127210647,-0.139921132,0.071772991,-0.04265976,0.090062768,0.02365185,0.065504297,0.004334347,-0.021600914,InformationTechnology,2.28,2
AMAT,0.036174686,-0.083467096,0.101322316,-0.09940114,-0.12278364,0.022243332,-0.045206099,-0.096774074,-0.067682269,-0.087010577,0.141593063,0.125605592,-0.005327692,-0.054633156,0.074904012,0.122416498,-0.03352222,0.198197641,-0.018427487,0.096787684,0.138939449,0.010388735,-0.035489224,0.110833629,InformationTechnology,0.4,1.24
ADM,-0.012908175,-0.103269165,0.032971097,-0.010025038,0.031223632,0.086947552,-0.087606411,-0.01659067,-0.045582336,-0.078684179,0.101568149,-0.194861885,0.005206852,-0.036259503,-0.002009198,0.038615613,0.099972361,0.079462268,0.00280565,0.051060927,-0.022628026,-0.036334591,0.033199024,-0.000618886,ConsumerStaples,1.2,2.58
ARNC,-0.086755299,-0.008866346,-0.053242102,-0.126436771,0.038699743,-0.066510158,-0.108000027,-0.114798197,-0.039591826,0.022222257,-0.075569377,0.051515428,0.054487276,-0.261398205,0.230261201,0.072788372,0.165970799,-0.167685878,0,0.145631053,-0.048080071,0.005952457,-0.055885057,-0.099801181,Industrials,0.36,1.65
AJG,-0.010721163,-0.056287156,0.057618733,0.002788436,0.02310164,0.012962523,-0.016208873,0.002748429,-0.078220493,-0.047483923,0.059350774,0.000457392,-0.056267424,-0.080605721,0.058714095,0.126728928,0.035071954,0.049739348,-0.007299395,0.033403365,0.012237003,0.02954864,-0.051897005,0.051754403,Financials,1.52,2.99
AIZ,0.012427893,-0.071898372,-0.030950337,0.002284954,0.00081421,0.076283976,0.017463987,0.113432773,0.000687072,0.062676574,0.03189472,0.055101242,-0.05823192,0.009560431,-0.119332709,0.085091453,0.096176212,0.039267701,-0.012358403,-0.038234254,0.085032954,0.030150732,-0.127154498,0.078963795,Financials,2.12,2.3
T,-0.050593596,-0.006042908,0.049817812,-0.055266147,0.076203159,-0.002886725,0.028372855,-0.008937402,-0.044329321,-0.01867463,0.043265333,0.004774711,0.021978083,0.062698092,0.024681064,0.060081061,0.003353778,0.008500824,0.103703604,0.013068851,-0.055671067,-0.00660465,-0.083034341,0.050013589,TelecommunicationsServices,1.96,4.85
ADSK,-0.031290306,-0.100732649,0.189409376,-0.087173088,-0.030866252,-0.047158189,-0.075161585,0.009984025,-0.075721666,-0.055828898,0.250339833,0.150027218,-0.040018922,-0.23157722,0.10508334,0.126981035,0.025896055,-0.025911067,-0.070876969,0.098079093,0.133725835,0.073145398,-0.000691318,0.004565606,InformationTechnology,0,0
ADP,-0.020879086,-0.010075666,0.076457043,-0.030440475,-0.012844418,0.011473895,-0.056185978,-0.005733578,-0.030713303,0.045870622,0.082503621,-0.008391684,-0.011785463,-0.019239865,0.019256347,0.065882923,-0.014156718,-0.006784316,0.052299093,-0.031784133,0.009668425,-0.012100083,-0.012925159,0.102917519,InformationTechnology,2.28,2.32
AN,0.016318994,-0.013077322,0.03153306,0.046016293,-0.04321472,0.013972397,0.009133152,-0.010161956,-0.040102663,-0.027740642,0.086112049,0.011552445,-0.066645778,-0.275058666,0.190057827,-0.093063938,0.085047172,-0.00414616,-0.068596334,0.13558957,-0.112464859,0.028722303,-0.099363582,0.018007773,ConsumerDiscretionary,0,0
AZO,0.071662186,-0.035777105,0.076587995,0.06143023,-0.013926352,0.001427203,-0.009975908,0.0510421,0.02147115,0.010949911,0.083693622,-0.00081584,-0.053408584,0.034343846,0.009356379,0.028557774,-0.039488411,-0.003959552,0.041511433,0.025357683,-0.088664184,0.035777891,-0.034073526,0.05527113,ConsumerDiscretionary,0,0
AVB,0.023259259,0.058755134,-0.02688019,0.042513413,-0.056872378,0.013143546,-0.032330079,0.078000813,-0.042242049,0.066945366,5.72E-05,0.039810042,0.01980382,-0.068647102,0.000874667,0.116194436,-0.070504788,0.017478418,0.010632362,0.029159045,-0.057312155,0.023774474,-0.03744941,-0.0390816,RealEstate,5.4,3.19
AVY,0.055329543,0.007517337,0.024488264,-0.005451089,0.050652074,0.113689522,-0.009749774,-0.001476903,-0.039556223,-0.025998682,0.148488599,0.020946594,-0.050030272,-0.028247707,0.075457867,0.107340157,0.006933894,0.030055426,0.004974475,0.042006692,-0.005777345,0.009873204,-0.102840924,0.032526088,Materials,1.64,2.26
BHI,-0.016315758,0.03424292,0.0779444,0.019890985,0.076753606,-0.058428259,-0.04028614,-0.057536443,-0.033972226,-0.070714244,0.012298179,0.026385749,-0.143784772,-0.05720485,-0.010909376,0.022393351,0.10335385,-0.037351717,-0.026951286,0.059827228,0.030898038,0.027274616,0.097681731,0.164827442,Energy,0.68,1.03
BLL,0.016400736,-0.070998915,0.134366401,-0.014921274,0.039213054,-0.031223965,-0.011832563,-0.032929521,-0.02652825,-0.056288921,0.101286168,0.015349125,0.047680839,-0.081121973,-0.007046381,0.076400352,0.001262444,0.014725499,-0.000138274,-0.022409771,0.122408754,0.034852825,-0.05954848,-0.024440394,Materials,0.52,0.68
BAC,0.052952379,-0.153158251,0.043564439,-0.023521572,0.035087678,0.035781608,0.034608993,0.05052881,-0.086129752,-0.043441799,0.077021825,0.038736699,-0.031705096,-0.159833585,-0.114568566,0.083981278,0.076923065,0.015796619,-0.099728585,0.091936649,0.119055612,-0.030359248,0.054313157,0.284748882,Financials,0.3,1.3
BK,0.013489929,-0.108485712,0.087222199,0.028104356,0.056376837,0.024090706,-0.032057252,0.03810305,-0.08294933,-0.0163316,0.068072687,0.052581011,-0.059762791,-0.117056576,-0.022915603,0.040689519,0.097177131,0.045228656,-0.076319623,0.019018111,0.057614146,-0.042956505,0.089742938,0.09590936,Financials,0.76,1.56
BCR,-0.00436215,0.027749648,-0.011050681,-0.010582852,-0.003348879,0.022451658,0.002231096,0.153574344,-0.01454356,-0.038598453,0.001482082,0.002522152,0.01402418,-0.031255584,0.049708133,0.053487811,0.048070987,0.032379671,0.073593874,-0.047550428,-0.012917379,0.015576892,-0.032745546,-0.028290521,HealthCare,1.04,0.48
BAX,0.011107785,-0.040660402,-0.016498331,-0.001735575,0.003503681,-0.023411241,0.049842377,0.055159251,-0.040668724,-0.142996491,0.138203925,0.006953785,0.016360872,-0.040629166,0.079508241,0.042736184,0.076436151,-0.023971022,0.05089481,0.061919469,-0.024158334,0.018617521,-0.000210022,-0.064945569,HealthCare,0.52,1.16
BBT,0.034583635,-0.092568789,0.085096726,0.024704409,-0.017953315,0.03798153,0.021281901,-0.000992249,-0.076990848,-0.035752964,0.043539361,0.046882601,-0.02097354,-0.136207332,-0.006823319,0.034515002,0.063420467,0.036422739,-0.020896313,0.035383321,0.052518768,-0.020259744,0.039236539,0.163207079,Financials,1.2,2.54
BDX,-0.004043018,-0.007760799,0.062572329,-0.017389522,-0.018942926,-0.002555526,0.012446483,0.074126332,-0.073151351,-0.055130026,0.07432534,0.054237909,0.029982616,-0.056590375,0.014308402,0.034228099,0.062178881,0.032184044,0.022836014,0.037797038,0.006875055,0.017997515,-0.065765272,0.007087142,HealthCare,2.92,1.75
BBBY,0.038162651,-0.018379906,-0.001471138,0.028395292,-0.08231308,0.012205497,-0.032809826,-0.054363586,-0.047830737,-0.0819514,0.045773463,-0.085695177,-0.115003651,-0.105285028,0.110725105,0.035245079,-0.048751021,-0.052308338,-0.031361594,0.040027756,0.031590569,-0.06761048,-0.062398584,0.108609679,ConsumerDiscretionary,0.5,1.04
BRK-B,0.009819033,-0.041558377,0.024320755,-0.020961922,-0.021549334,0.012676106,-0.048181811,0.048710631,-0.060950061,-0.027156067,0.043098238,-0.014189148,-0.015288262,-0.017191678,0.033906094,0.057464464,0.025373491,-0.033956579,0.030240502,-0.003591332,0.043113612,-0.040002683,-0.001176701,0.091060282,Financials,0,0
BBY,-0.005748162,-0.096972709,0.082386225,0.009826895,-0.083090776,0.001443035,-0.053884525,-0.009812888,0.13781354,0.016608118,-0.05630383,-0.092777606,-0.034667193,-0.082758639,0.15968493,0.023888623,-0.011097331,0.002805386,-0.039871756,0.098039196,0.145238135,-0.000415461,0.019119976,0.174505291,ConsumerDiscretionary,1.12,2.29
BIIB,0.103220806,0.146442746,0.052497666,0.030884529,-0.114413599,0.06166929,0.017506769,-0.210823396,-0.067381928,-0.018466163,-0.004454912,-0.012564197,0.067942627,-0.108666582,-0.049952337,0.003469254,0.056353652,0.053602027,-0.165360861,0.198949568,0.054151045,0.024212263,-0.104942038,0.049575324,HealthCare,0,0
BLK,0.001148082,-0.047684283,0.090775614,-0.009243235,-0.00519352,0.005055741,-0.04833302,-0.027920724,-0.094304215,-0.016530659,0.183211793,0.033383539,-0.058140227,-0.07711731,-0.007318764,0.099416099,0.046275314,0.021104095,-0.052645245,0.069249396,0.024148767,-0.02776215,-0.058544395,0.086596002,Financials,9.16,2.36
HRB,0.007032054,0.017814671,-0.003792224,-0.054960416,-0.057062657,0.049272454,-0.059344188,0.122765708,0.021928444,0.070125931,0.029281703,-0.015297962,-0.087179583,0.022215534,-0.034361234,-0.190705759,-0.233913704,0.055335971,0.086876721,0.034347821,-0.089533476,0.079616148,-0.007775465,-0.03526328,Financials,0.88,3.83
BA,-0.032598983,0.118402754,0.044115212,-0.005104458,-0.0449094,-0.013391097,-0.012809658,0.039287802,-0.087787008,0.002066169,0.130736979,-0.011620864,-0.005912633,-0.16916798,-0.007128849,0.074124198,0.061919015,-0.056535698,0.029488637,0.029183126,-0.023471866,0.017690373,0.081144571,0.065198286,Industrials,4.36,2.79
BWA,-0.028465384,-0.017106493,0.140336591,-0.015945276,-0.021164058,0.018224812,-0.055029091,-0.125439845,-0.119519795,-0.04697521,0.02957434,-1.20E-05,0.012649325,-0.320841961,0.117535364,0.175030748,-0.064583449,-0.048909568,-0.132530102,0.123983759,0.040445953,0.022971858,0.01876057,-0.002751426,ConsumerDiscretionary,0.53,1.27
BXP,0.031954814,0.07856087,-0.010014411,0.02709668,-0.058157802,-0.017232244,-0.064203094,0.018506276,-0.080305013,0.050136092,0.062922283,-0.006833551,0.035581467,-0.088834898,-0.01781259,0.119192617,0.014006917,-0.025065958,0.055331073,0.077558858,-0.014071603,-0.022804513,-0.116002574,0.028220401,RealEstate,2.6,2.02
BSX,0.02952603,0.117735849,0.141120864,0.050295858,0.003943662,0.025252525,-0.031198632,-0.020339038,-0.034602076,-0.019713262,0.113954966,0,0.008752735,-0.049349238,-0.031374841,0.107773793,0.165337648,0.0360401,0.029062177,0.038938809,-0.018945675,-0.000839673,-0.075630213,-0.070000045,HealthCare,0,0
BMY,0.005883867,0.021006298,0.010784783,0.058765646,-0.006237295,0.013651309,0.030030943,-0.008009655,-0.093997563,0.001747379,0.114020188,0.016072906,0.032187295,-0.09638025,-0.003700153,0.037629865,0.129931125,-0.00665006,0.03124399,0.017131097,-0.232856577,-0.060463502,-0.0492798,0.108623041,HealthCare,1.56,2.73
AVGO,0.080867576,0.022765649,0.24047445,-0.002077563,-0.079540143,0.266854939,-0.09971281,-0.058602188,0.006632574,-0.004509494,-0.015038864,0.059449425,0.116114446,-0.07881485,0.001944407,0.157061912,-0.056634326,0.059073747,0.009913568,0.04234232,0.089146878,-0.019157036,-0.012984031,0.001233298,InformationTechnology,4.08,2.28
